,DOI,abbrev,auths,titl,yr
11416,111_CR14,M Richardson (2010),M Richardson,"{'issue': '3', 'key': '111_CR14', 'doi-asserted-by': 'crossref', 'first-page': '220', 'DOI': '10.1016/j.jhin.2009.12.015', 'volume': '75', 'author': 'M Richardson', 'year': '2010', 'unstructured': 'Richardson M, Hines S, Dixon G, Highe L, Brierley J. Establishing nurse-led ventilator-associated pneumonia surveillance in paediatric intensive care. J Hosp Infect. 2010;75(3):220–4.', 'journal-title': 'J Hosp Infect'}",2010
11417,111_CR15,MF Niedner (2011),MF Niedner,"{'issue': '12', 'key': '111_CR15', 'doi-asserted-by': 'crossref', 'first-page': '1200', 'DOI': '10.1086/662621', 'volume': '32', 'author': 'MF Niedner', 'year': '2011', 'unstructured': 'Niedner MF, Huskins WC, Colantuoni E, Muschelli J, Harris 2nd JM, Rice TB, et al. Epidemiology of central line-associated bloodstream infections in the pediatric intensive care unit. Infect Control Hosp Epidemiol. 2011;32(12):1200–8.', 'journal-title': 'Infect Control Hosp Epidemiol'}",2011
11418,111_CR16,PP Roeleveld (2011),PP Roeleveld,"{'issue': '10', 'key': '111_CR16', 'doi-asserted-by': 'crossref', 'first-page': '1656', 'DOI': '10.1007/s00134-011-2349-3', 'volume': '37', 'author': 'PP Roeleveld', 'year': '2011', 'unstructured': 'Roeleveld PP, Guijt D, Kuijper EJ, Hazekamp MG, de Wilde RB, de Jonge E. Ventilator-associated pneumonia in children after cardiac surgery in The Netherlands. Intensive Care Med. 2011;37(10):1656–63.', 'journal-title': 'Intensive Care Med'}",2011
11419,111_CR17,A Gautam (2012),A Gautam,"{'issue': '4', 'key': '111_CR17', 'first-page': '283', 'volume': '14', 'author': 'A Gautam', 'year': '2012', 'unstructured': 'Gautam A, Ganu SS, Tegg OJ, Andresen DN, Wilkins BH, Schell DN. Ventilator-associated pneumonia in a tertiary paediatric intensive care unit: a 1-year prospective observational study. Crit Care Resusc. 2012;14(4):283–9.', 'journal-title': 'Crit Care Resusc'}",2012
11420,111_CR18,VD Rosenthal (2012),VD Rosenthal,"{'issue': '6', 'key': '111_CR18', 'doi-asserted-by': 'crossref', 'first-page': '497', 'DOI': '10.1016/j.ajic.2011.08.005', 'volume': '40', 'author': 'VD Rosenthal', 'year': '2012', 'unstructured': 'Rosenthal VD, Alvarez-Moreno C, Villamil-Gomez W, Singh S, Ramachandran B, Navoa-Ng JA, et al. Effectiveness of a multidimensional approach to reduce ventilator-associated pneumonia in pediatric intensive care units of 5 developing countries: International Nosocomial Infection Control Consortium findings. Am J Infect Control. 2012;40(6):497–501.', 'journal-title': 'Am J Infect Control'}",2012
11421,111_CR19,JA Muszynski (2013),JA Muszynski,"{'issue': '5', 'key': '111_CR19', 'doi-asserted-by': 'crossref', 'first-page': '533', 'DOI': '10.1097/PCC.0b013e31828a897f', 'volume': '14', 'author': 'JA Muszynski', 'year': '2013', 'unstructured': 'Muszynski JA, Sartori J, Steele L, Frost R, Wang W, Khan N, et al. Multidisciplinary quality improvement initiative to reduce ventilator-associated tracheobronchitis in the PICU. Pediatr Crit Care Med. 2013;14(5):533–8.', 'journal-title': 'Pediatr Crit Care Med'}",2013
11422,111_CR20,A Gupta (2014),A Gupta,"{'issue': '2', 'key': '111_CR20', 'doi-asserted-by': 'crossref', 'first-page': '111', 'DOI': '10.1016/j.ajic.2013.09.026', 'volume': '42', 'author': 'A Gupta', 'year': '2014', 'unstructured': 'Gupta A, Kapil A, Kabra SK, Lodha R, Sood S, Dhawan B, et al. Assessing the impact of an educational intervention on ventilator-associated pneumonia in a pediatric critical care unit. Am J Infect Control. 2014;42(2):111–5.', 'journal-title': 'Am J Infect Control'}",2014
11423,111_CR21,A Slater (2003),A Slater,"{'issue': '2', 'key': '111_CR21', 'doi-asserted-by': 'crossref', 'first-page': '278', 'DOI': '10.1007/s00134-002-1601-2', 'volume': '29', 'author': 'A Slater', 'year': '2003', 'unstructured': 'Slater A, Shann F, Pearson G, Paediatric Index of Mortality Study G. PIM2: a revised version of the Paediatric Index of Mortality. Intensive Care Med. 2003;29(2):278–85. Epub 2003/01/24.', 'journal-title': 'Intensive Care Med'}",2003
11424,111_CR22,TC Horan (2008),TC Horan,"{'issue': '5', 'key': '111_CR22', 'doi-asserted-by': 'crossref', 'first-page': '309', 'DOI': '10.1016/j.ajic.2008.03.002', 'volume': '36', 'author': 'TC Horan', 'year': '2008', 'unstructured': 'Horan TC, Andrus M, Dudeck MA. CDC/NHSN surveillance definition of health care-associated infection and criteria for specific types of infections in the acute care setting. Am J Infect Control. 2008;36(5):309–32.', 'journal-title': 'Am J Infect Control'}",2008
11425,111_CR23,SW Patrick (2014),SW Patrick,"{'issue': '4', 'key': '111_CR23', 'doi-asserted-by': 'crossref', 'first-page': '705', 'DOI': '10.1542/peds.2014-0613', 'volume': '134', 'author': 'SW Patrick', 'year': '2014', 'unstructured': 'Patrick SW, Kawai AT, Kleinman K, Jin R, Vaz L, Gay C, et al. Health care-associated infections among critically ill children in the US, 2007–2012. Pediatrics. 2014;134(4):705–12.', 'journal-title': 'Pediatrics'}",2014
11426,111_CR24,E Goes-Silva (2009),E Goes-Silva,"{'issue': '10', 'key': '111_CR24', 'doi-asserted-by': 'crossref', 'first-page': '1024', 'DOI': '10.1086/606040', 'volume': '30', 'author': 'E Goes-Silva', 'year': '2009', 'unstructured': 'Goes-Silva E, Abreu TF, Frota AC, Pessoa-Silva CL, Cunha AJ, Hofer CB. Use of peripherally inserted central catheters to prevent catheter-associated bloodstream infection in children. Infect Control Hosp Epidemiol. 2009;30(10):1024–6.', 'journal-title': 'Infect Control Hosp Epidemiol'}",2009
11427,111_CR25,WR Jarvis (1991),WR Jarvis,"{'issue': '3B', 'key': '111_CR25', 'doi-asserted-by': 'crossref', 'first-page': '185S', 'DOI': '10.1016/0002-9343(91)90367-7', 'volume': '91', 'author': 'WR Jarvis', 'year': '1991', 'unstructured': 'Jarvis WR, Edwards JR, Culver DH, Hughes JM, Horan T, Emori TG, et al. Nosocomial infection rates in adult and pediatric intensive care units in the United States. National Nosocomial Infections Surveillance System. Am J Med. 1991;91(3B):185S–91S.', 'journal-title': 'Am J Med'}",1991
11428,10.1016/j.prevetmed.2015.09.005,Yatabe T et al (2015),"Yatabe T., More S.J., Geoghegan F., McManus C., Hill A.E., Martínez-López B.",Characterization of the live salmonid movement network in Ireland: Implications for disease prevention and control,2015
11429,10.1016/j.prevetmed.2015.09.005_bib0005,unparseable (1900),unparseable,unparseable,1900
11430,10.1016/j.prevetmed.2015.09.005_bib0010,Barabási (1999),Barabási,Emergence of scaling in random networks,1999
11431,10.1016/j.prevetmed.2015.09.005_bib0015,Barabási (2003),Barabási,Scale-free networks,2003
11432,10.1016/j.prevetmed.2015.09.005_bib0020,BIM (2013),BIM,"{'key': '10.1016/j.prevetmed.2015.09.005_bib0020', 'author': 'BIM', 'year': '2013', 'series-title': 'Annual Aquaculture Survey 2013'}",2013
11433,10.1016/j.prevetmed.2015.09.005_bib0025,BIM (2014),BIM,"{'key': '10.1016/j.prevetmed.2015.09.005_bib0025', 'author': 'BIM', 'year': '2014', 'series-title': 'Annual Aquaculture Survey 2014'}",2014
11434,10.1016/j.prevetmed.2015.09.005_bib0030,Christley (2005),Christley,Network analysis of cattle movement in Great Britain,2005
11435,10.1016/j.prevetmed.2015.09.005_bib0035,Clauset (2009),Clauset,Power–law distributions in empirical data,2009
11436,10.1016/j.prevetmed.2015.09.005_bib0040,Csardi (2006),Csardi,The igraph software package for complex network research,2006
11437,10.1016/j.prevetmed.2015.09.005_bib0045,Danon (2005),Danon,Comparing community structure identification,2005
11438,10.1016/j.prevetmed.2015.09.005_bib0050,Danon (2011),Danon,Networks and the Epidemiology of Infectious Disease,2011
11439,10.1016/j.prevetmed.2015.09.005_bib0055,Dent (2008),Dent,Contact structures in the poultry industry in Great Britain: exploring transmission routes for a potential avian influenza virus epidemic,2008
11440,10.1016/j.prevetmed.2015.09.005_bib0060,Dubé (2009),Dubé,A review of network analysis terminology and its application to foot-and-mouth disease modelling and policy development,2009
11441,10.1016/j.prevetmed.2015.09.005_bib0065,Dubé (2011),Dubé,"Estimating potential epidemic size following introduction of a long-incubation disease in scale-free connected networks of milking-cow movements in Ontario, Canada",2011
11442,10.1016/j.prevetmed.2015.09.005_bib0070,Efron (1979),Efron,Computers and the theory of statistics: thinking the unthinkable,1979
11443,10.1016/j.prevetmed.2015.09.005_bib0075,Erdos (1959),Erdos,On random graphs,1959
11444,10.1016/j.prevetmed.2015.09.005_bib0080,Fred (2003),Fred,Robust data clustering,2003
11445,10.1016/j.prevetmed.2015.09.005_bib0085,unparseable (1900),unparseable,unparseable,1900
11446,10.1016/j.prevetmed.2015.09.005_bib0090,Green (2009),Green,Small- and large-scale network structure of live fish movements in Scotland,2009
11447,10.1016/j.prevetmed.2015.09.005_bib0095,Green (2012),Green,The potential for targeted surveillance of live fish movements in Scotland,2012
11448,10.1016/j.prevetmed.2015.09.005_bib0100,Green (2011),Green,Tools to study trends in community structure: application to fish and livestock trading networks,2011
11449,10.1016/j.prevetmed.2015.09.005_bib0105,Hall (2015),Hall,Estimating the prevalence of Renibacterium salmoninarum-infected salmonid production sites,2015
11450,10.1016/j.prevetmed.2015.09.005_bib0110,Jarp (1995),Jarp,"Risk factors for furunculosis, infectious pancreatic necrosis and mortality in post-smolt of Atlantic salmon, Salmo solar L",1995
11451,10.1016/j.prevetmed.2015.09.005_bib0115,Jonkers (2010),Jonkers,Epidemics and control strategies for diseases of farmed salmonids: a parameter study,2010
11452,10.1016/j.prevetmed.2015.09.005_bib0120,Kao (2006),Kao,Demographic structure and pathogen dynamics on the network of livestock movements in Great Britain,2006
11453,10.1016/j.prevetmed.2015.09.005_bib0125,Keeling (1999),Keeling,The effects of local spatial structure on epidemiological invasions,1999
11454,10.1016/j.prevetmed.2015.09.005_bib0130,Kiss (2006),Kiss,Infectious disease control using contact tracing in random and scale-free networks,2006
11455,10.1016/j.prevetmed.2015.09.005_bib0135,Kiss (2006),Kiss,The network of sheep movements within Great Britain: network properties and their implications for infectious disease spread,2006
11456,10.1016/j.prevetmed.2015.09.005_bib0140,Kulldorff (2009),Kulldorff,A scan statistic for continuous data based on the normal probability model,2009
11457,10.1016/j.prevetmed.2015.09.005_bib0145,Leicht (2008),Leicht,Community structure in directed networks,2008
11458,10.1016/j.prevetmed.2015.09.005_bib0150,Lentz (2011),Lentz,Trade communities and their spatial patterns in the German pork production network,2011
11459,10.1016/j.prevetmed.2015.09.005_bib0155,Mardones (2014),Mardones,The role of fish movements and the spread of infectious salmon anemia virus (ISAV) in Chile 2007–2009,2014
11460,10.1016/j.prevetmed.2015.09.005_bib0160,Martinez-Lopez (2009),Martinez-Lopez,"Combined application of social network and cluster detection analyses for temporal-spatial characterization of animal movements in Salamanca, Spain",2009
11461,10.1016/j.prevetmed.2015.09.005_bib0165,Martinez-Lopez (2009),Martinez-Lopez,Social network analysis. Review of general concepts and use in preventive veterinary medicine,2009
11462,10.1016/j.prevetmed.2015.09.005_bib0170,Munro (2009),Munro,Application of network analysis to farmed salmonid movement data from Scotland,2009
11463,10.1016/j.prevetmed.2015.09.005_bib0175,Munro (2012),Munro,Analysis of farmed fish movements between catchments identifies a simple compartmentalised management strategy for bacterial kidney disease in Scottish aquaculture,2012
11464,10.1016/j.prevetmed.2015.09.005_bib0180,Munro (2014),Munro,"{'key': '10.1016/j.prevetmed.2015.09.005_bib0180', 'author': 'Munro', 'year': '2014', 'series-title': 'Scottish Fish Farm Production Survey 2013'}",2014
11465,10.1016/j.prevetmed.2015.09.005_bib0185,Murray (2006),Murray,A model of the emergence of infectious pancreatic necrosis virus in Scottish salmon farms 1996–2003,2006
11466,10.1016/j.prevetmed.2015.09.005_bib0190,Murray (2013),Murray,Epidemiology of the spread of viral diseases under aquaculture,2013
11467,10.1016/j.prevetmed.2015.09.005_bib0195,Murray (2012),Murray,Epidemiology of Renibacterium salmoninarum in Scotland and the potential for compartmentalised management of salmon and trout farming areas,2012
11468,10.1016/j.prevetmed.2015.09.005_bib0200,Murray (2002),Murray,Shipping and the spread of infectious salmon anemia in Scottish aquaculture,2002
11469,10.1016/j.prevetmed.2015.09.005_bib0205,Newman (2003),Newman,Mixing patterns in networks,2003
11470,10.1016/j.prevetmed.2015.09.005_bib0210,Ortiz-Pelaez (2006),Ortiz-Pelaez,Use of social network analysis to characterize the pattern of animal movements in the initial phases of the 2001 foot and mouth disease (FMD) epidemic in the UK,2006
11471,10.1016/j.prevetmed.2015.09.005_bib0215,unparseable (1900),unparseable,unparseable,1900
11472,10.1016/j.prevetmed.2015.09.005_bib0220,Robinson (2007),Robinson,Recent network evolution increases the potential for large epidemics in the British cattle population,2007
11473,10.1016/j.prevetmed.2015.09.005_bib0225,Rodger (2007),Rodger,"Epidemiological observations of pancreas disease of farmed Atlantic salmon, Salmo salar L., in Ireland",2007
11474,10.1016/j.prevetmed.2015.09.005_bib0230,Rosvall (2009),Rosvall,The map equation,2009
11475,10.1016/j.prevetmed.2015.09.005_bib0235,Rosvall (2008),Rosvall,Maps of random walks on complex networks reveal community structure,2008
11476,10.1016/j.prevetmed.2015.09.005_bib0240,Ruane (2007),Ruane,Infectious pancreatic necrosis virus and its impact on the Irish salmon aquaculture and wild fish sectors,2007
11477,10.1016/j.prevetmed.2015.09.005_bib0245,Ruane (2009),Ruane,Molecular differentiation of infectious pancreatic necrosis virus isolates from farmed and wild salmonids in Ireland,2009
11478,10.1016/j.prevetmed.2015.09.005_bib0250,Ruane (2009),Ruane,Modelling the initiation and spread of infectious pancreatic necrosis virus (IPNV) in the Irish salmon farming industry: the role of inputs,2009
11479,10.1016/j.prevetmed.2015.09.005_bib0255,Shirley (2005),Shirley,Where diseases and networks collide: lessons to be learnt from a study of the 2001 foot-and-mouth disease epidemic,2005
11480,10.1016/j.prevetmed.2015.09.005_bib0260,Wasserman (1994),Wasserman,"{'key': '10.1016/j.prevetmed.2015.09.005_bib0260', 'author': 'Wasserman', 'year': '1994', 'series-title': 'Social Network Analysis: Methods and Applications'}",1994
11481,10.1016/j.prevetmed.2015.09.005_bib0265,Watts (1998),Watts,Collective dynamics of ‘small-world’networks,1998
11482,10.1016/j.prevetmed.2015.09.005_bib0270,Werkman (2011),Werkman,Seasonality and heterogeneity of live fish movements in Scottish fish farms,2011
11483,10.3201/eid2111.150548,Logan et al (2015),"Logan L.K., Renschler J.P., Gandra S., Weinstein R.A., Laxminarayan R.","Carbapenem-resistant enterobacteriaceae in children, United States, 1999–2012",2015
11484,key-10.3201/eid2111.150548-201510261136-R1,Bush (2011),Bush,"Epidemiological expansion, structural studies, and clinical challenges of new β-lactamases from gram-negative bacteria.",2011
11485,key-10.3201/eid2111.150548-201510261136-R2,Bush (2010),Bush,Updated functional classification of β-lactamases.,2010
11486,key-10.3201/eid2111.150548-201510261136-R3,Doi (2013),Doi,Community-associated extended-spectrum β-lactamase–producing Escherichia coli infection in the United States.,2013
11487,key-10.3201/eid2111.150548-201510261136-R4,Lukac (2015),Lukac,"Extended-spectrum β-lactamase-producing Enterobacteriaceae in children: old foe, emerging rhreat.",2015
11488,key-10.3201/eid2111.150548-201510261136-R5,Pitout (2008),Pitout,Extended-spectrum β-lactamase-producing Enterobacteriaceae: an emerging public-health concern.,2008
11489,key-10.3201/eid2111.150548-201510261136-R6,Munoz‐Price (2009),Munoz‐Price,"The spread of Klebsiella pneumoniae carbapenemases: a tale of strains, plasmids, and transposons.",2009
11490,key-10.3201/eid2111.150548-201510261136-R7,Kumarasamy (2010),Kumarasamy,"Emergence of a new antibiotic resistance mechanism in India, Pakistan, and the UK: a molecular, biological, and epidemiological study.",2010
11491,key-10.3201/eid2111.150548-201510261136-R8,Mathers (2013),Mathers,First clinical cases of OXA-48–producing carbapenem-resistant Klebsiella pneumoniae in the United States: the “menace” arrives in the new world.,2013
11492,key-10.3201/eid2111.150548-201510261136-R9,Logan (2012),Logan,Carbapenem-resistant Enterobacteriaceae: an emerging problem in children.,2012
11493,key-10.3201/eid2111.150548-201510261136-R10,unparseable (1900),unparseable,unparseable,1900
11494,key-10.3201/eid2111.150548-201510261136-R11,unparseable (1900),unparseable,unparseable,1900
11495,key-10.3201/eid2111.150548-201510261136-R12,Castanheira (2013),Castanheira,Prevalence of β-lactamase-encoding genes among Enterobacteriaceae bacteremia isolates collected in 26 U.S. hospitals: report from the SENTRY Antimicrobial Surveillance Program (2010).,2013
11496,key-10.3201/eid2111.150548-201510261136-R13,Lin (2013),Lin,The importance of long-term acute care hospitals in the regional epidemiology of Klebsiella pneumoniae carbapenemase-producing Enterobacteriaceae.,2013
11497,key-10.3201/eid2111.150548-201510261136-R14,Braykov (2013),Braykov,"Trends in resistance to carbapenems and third-generation cephalosporins among clinical isolates of Klebsiella pneumoniae in the United States, 1999–2010.",2013
11498,key-10.3201/eid2111.150548-201510261136-R15,Little (2012),Little,Molecular diversity in mechanisms of carbapenem resistance in paediatric Enterobacteriaceae.,2012
11499,key-10.3201/eid2111.150548-201510261136-R16,Viau (2012),Viau,“Silent” dissemination of Klebsiella pneumoniae isolates bearing K. pneumoniae carbapenemase in a long-term care facility for children and young adults in northeast Ohio.,2012
11500,key-10.3201/eid2111.150548-201510261136-R17,Hoffmann (2010),Hoffmann,"Increasing resistance of Acinetobacter species to imipenem in United States Hospitals, 1999.",2010
11501,key-10.3201/eid2111.150548-201510261136-R18,Klein (2009),Klein,"Community-associated methicillin-resistant Staphylococcus aureus in outpatients, United States, 1999–2006.",2009
11502,key-10.3201/eid2111.150548-201510261136-R19,Logan (2014),Logan,"Extended-spectrum β-lactamase–producing and third-generation cephalosporin-resistant Enterobacteriaceae in children: trends in the United States, 1999–2011.",2014
11503,key-10.3201/eid2111.150548-201510261136-R20,unparseable (1900),unparseable,unparseable,1900
11504,key-10.3201/eid2111.150548-201510261136-R21,unparseable (1900),unparseable,unparseable,1900
11505,key-10.3201/eid2111.150548-201510261136-R22,Magiorakos (2012),Magiorakos,"Multidrug-resistant, extensively drug-resistant and pandrug-resistant bacteria: an international expert proposal for interim standard definitions for acquired resistance: international standard definitions for acquired resistance.",2012
11506,key-10.3201/eid2111.150548-201510261136-R23,Falagas (2011),Falagas,Therapeutic options for infections with Enterobacteriaceae producing carbapenem-hydrolyzing enzymes.,2011
11507,key-10.3201/eid2111.150548-201510261136-R24,Gupta (2011),Gupta,Carbapenem-resistant Enterobacteriaceae: epidemiology and prevention.,2011
11508,key-10.3201/eid2111.150548-201510261136-R25,Gasink (2009),Gasink,Risk factors and clinical impact of Klebsiella pneumoniae carbapenemase–producing K. pneumoniae.,2009
11509,key-10.3201/eid2111.150548-201510261136-R26,Patel (2008),Patel,Outcomes of carbapenem‐resistant Klebsiella pneumoniae infection and the impact of antimicrobial and adjunctive therapies.,2008
11510,key-10.3201/eid2111.150548-201510261136-R27,Tuon (2012),Tuon,Risk factors for KPC-producing Klebsiella pneumoniae bacteremia.,2012
11511,key-10.3201/eid2111.150548-201510261136-R28,Mouloudi (2010),Mouloudi,Bloodstream infections caused by metallo–β‐lactamase/Klebsiella pneumoniae carbapenemase–producing K. pneumoniae among intensive care unit patients in Greece: risk factors for infection and impact of type of resistance on outcomes.,2010
11512,key-10.3201/eid2111.150548-201510261136-R29,Hsu (2014),Hsu,Treatment of multidrug-resistant gram-negative infections in children.,2014
11513,key-10.3201/eid2111.150548-201510261136-R30,unparseable (1900),unparseable,unparseable,1900
11514,key-10.3201/eid2111.150548-201510261136-R31,Haertl (1993),Haertl,Epidemiological fingerprinting of Enterobacter cloacae by small-fragment restriction endonuclease analysis and pulsed-field gel electrophoresis of genomic restriction fragments.,1993
11515,key-10.3201/eid2111.150548-201510261136-R32,Stumpf (2005),Stumpf,Specificity of enterobacterial repetitive intergenic consensus and repetitive extragenic palindromic polymerase chain reaction for the detection of clonality within the Enterobacter cloacae complex.,2005
11516,key-10.3201/eid2111.150548-201510261136-R33,Miyoshi-Akiyama (2013),Miyoshi-Akiyama,Multilocus sequence typing (MLST) for characterization of Enterobacter cloacae.,2013
11517,key-10.3201/eid2111.150548-201510261136-R34,unparseable (1900),unparseable,unparseable,1900
11518,key-10.3201/eid2111.150548-201510261136-R35,Stillwell (2014),Stillwell,Outbreak of KPC-3 producing carbapenem-resistant Klebsiella pneumoniae in a US pediatric hospital.,2014
11519,key-10.3201/eid2111.150548-201510261136-R36,Giuffrè (2013),Giuffrè,"Successful control of an outbreak of colonization by Klebsiella pneumoniae carbapenemase-producing K. pneumoniae sequence type 258 in a neonatal intensive care unit, Italy.",2013
11520,key-10.3201/eid2111.150548-201510261136-R37,Löhr (2013),Löhr,Long-term faecal carriage in infants and intra-household transmission of CTX-M-15-producing Klebsiella pneumoniae following a nosocomial outbreak.,2013
11521,key-10.3201/eid2111.150548-201510261136-R38,Zerr (2014),Zerr,Pediatric infection and intestinal carriage due to extended-spectrum-cephalosporin-resistant Enterobacteriaceae.,2014
11522,10.1016/j.prevetmed.2015.07.009,Pfeiffer et al (2015),"Pfeiffer C.N., Firestone S.M., Campbell A.J.D., Larsen J.W.A., Stevenson M.A.",Sample size considerations for livestock movement network data,2015
11523,10.1016/j.prevetmed.2015.07.009_bib0005,Albert (2000),Albert,Error and attack tolerance of complex networks,2000
11524,10.1016/j.prevetmed.2015.07.009_bib0010,Aznar (2005),Aznar,Analysis of cattle movements in Argentina,2005
11525,10.1016/j.prevetmed.2015.07.009_bib0015,Baptista (2007),Baptista,Spatial analysis of cattle movement patterns in Portugal,2007
11526,10.1016/j.prevetmed.2015.07.009_bib0020,Barabási (1999),Barabási,Emergence of scaling in random networks,1999
11527,10.1016/j.prevetmed.2015.07.009_bib0025,Bigras-Poulin (2006),Bigras-Poulin,Network analysis of Danish cattle industry trade patterns as an evaluation of risk potential for disease spread,2006
11528,10.1016/j.prevetmed.2015.07.009_bib0030,Borgatti (2006),Borgatti,On the robustness of centrality measures under conditions of imperfect data,2006
11529,10.1016/j.prevetmed.2015.07.009_bib0035,Butts (2008),Butts,Social network analysis: a methodological introduction,2008
11530,10.1016/j.prevetmed.2015.07.009_bib0040,Christley (2005),Christley,Infection in social networks: using network analysis to identify high-risk individuals,2005
11531,10.1016/j.prevetmed.2015.07.009_bib0045,Costenbader (2003),Costenbader,The stability of centrality measures when networks are sampled,2003
11532,10.1016/j.prevetmed.2015.07.009_bib0050,Csardi & Nepusz (1900),"Csardi, G., Nepusz,", T. ,1900
11533,10.1016/j.prevetmed.2015.07.009_bib0055,Dawson (2015),Dawson,Epidemic predictions in an imperfect world: modelling disease spread with partial data,2015
11534,10.1016/j.prevetmed.2015.07.009_bib0060,Dubé (2009),Dubé,A review of network analysis terminology and its application to foot-and-mouth disease modelling and policy development,2009
11535,10.1016/j.prevetmed.2015.07.009_bib0065,Erdos (1959),Erdos,On random graphs,1959
11536,10.1016/j.prevetmed.2015.07.009_bib0070,Firestone (2012),Firestone,Adding the spatial dimension to the social network analysis of an epidemic: investigation of the 2007 outbreak of equine influenza in Australia,2012
11537,10.1016/j.prevetmed.2015.07.009_bib0075,Frank (1978),Frank,Sampling and estimation in large social networks,1978
11538,10.1016/j.prevetmed.2015.07.009_bib0080,Frank (1988),Frank,Random sampling and social networks. A survey of various approaches,1988
11539,10.1016/j.prevetmed.2015.07.009_bib0085,Galaskiewicz (1991),Galaskiewicz,Estimating point centrality using different network sampling techniques,1991
11540,10.1016/j.prevetmed.2015.07.009_bib0090,Galvani (2005),Galvani,Epidemiology: dimensions of superspreading,2005
11541,10.1016/j.prevetmed.2015.07.009_bib0095,Goodman (1961),Goodman,Snowball sampling,1961
11542,10.1016/j.prevetmed.2015.07.009_bib0100,Granovetter (1976),Granovetter,Network sampling: some first steps,1976
11543,10.1016/j.prevetmed.2015.07.009_bib0105,Johnson (1989),Johnson,Estimating relational attributes from snowball samples through simulation,1989
11544,10.1016/j.prevetmed.2015.07.009_bib0110,Leskovec (2006),Leskovec,Sampling from large graphs,2006
11545,10.1016/j.prevetmed.2015.07.009_bib0115,Lloyd-Smith (2005),Lloyd-Smith,Superspreading and the effect of individual variation on disease emergence,2005
11546,10.1016/j.prevetmed.2015.07.009_bib0120,Martinez-Lopez (2009),Martinez-Lopez,Social network analysis. Review of general concepts and use in preventive veterinary medicine,2009
11547,10.1016/j.prevetmed.2015.07.009_bib0125,May (2001),May,Infectious disease dynamics: what characterizes a successful invader,2001
11548,10.1016/j.prevetmed.2015.07.009_bib0130,Natale (2009),Natale,Network analysis of Italian cattle trade patterns and evaluation of risks for potential disease spread,2009
11549,10.1016/j.prevetmed.2015.07.009_bib0135,Ortiz-Pelaez (2006),Ortiz-Pelaez,Use of social network analysis to characterize the pattern of animal movements in the initial phases of the 2001 foot and mouth disease (FMD) epidemic in the UK,2006
11550,10.1016/j.prevetmed.2015.07.009_bib0140,Porphyre (2008),Porphyre,Influence of contact heterogeneity on TB reproduction ratio R0 in a free-living brushtail possum Trichosurus vulpecula population,2008
11551,10.1016/j.prevetmed.2015.07.009_bib0145,unparseable (1900),unparseable,unparseable,1900
11552,10.1016/j.prevetmed.2015.07.009_bib0150,Rautureau (2011),Rautureau,Targeted surveillance of cattle trade using social network analysis tools,2011
11553,10.1016/j.prevetmed.2015.07.009_bib0155,Rautureau (2012),Rautureau,Structural vulnerability of the French swine industry trade network to the spread of infectious diseases,2012
11554,10.1016/j.prevetmed.2015.07.009_bib0160,Smith (2013),Smith,Descriptive and social network analysis of pig transport data recorded by quality assured pig farms in the UK,2013
11555,10.1016/j.prevetmed.2015.07.009_bib0165,Stevenson & Sanson (1900),"Stevenson, M.A., Sanson,", R. ,1900
11556,10.1016/j.prevetmed.2015.07.009_bib0170,Stumpf (2005),Stumpf,Subnets of scale-free networks are not scale-free: sampling properties of networks,2005
11557,10.1016/j.prevetmed.2015.07.009_bib0175,Volkova (2010),Volkova,Sheep movement networks and the transmission of infectious diseases,2010
11558,10.1016/j.prevetmed.2015.07.009_bib0180,Webb (2005),Webb,Farm animal networks: unraveling the contact structure of the british sheep population,2005
11559,10.1016/j.prevetmed.2015.07.009_bib0185,Woolhouse (1998),Woolhouse,Heterogeneities in schistosome transmission dynamics and control,1998
11560,10.1016/j.prevetmed.2015.07.009_bib0190,Woolhouse (2005),Woolhouse,Epidemiological implications of the contact network structure for cattle farms and the 20–80 rule,2005
11561,10.1016/j.antiviral.2015.10.002,Scott et al (2015),"Scott T.P., Coetzer A., De Balogh K., Wright N., Nel L.H.",The Pan-African Rabies Control Network (PARACON): A unified approach to eliminating canine rabies in Africa,2015
11562,10.1016/j.antiviral.2015.10.002_bib2,Adawa (2014),Adawa,Efficacy of a direct rapid immunohistochemical test ( DRIT ) for rabies detection in Nigeria,2014
11563,10.1016/j.antiviral.2015.10.002_bib3,Ali (2014),Ali,"Comparison of direct, rapid immunohistochemical test performance with direct fluorescent antibody test for rabies diagnosis in Ethiopia",2014
11564,10.1016/j.antiviral.2015.10.002_bib4,Banyard (2013),Banyard,Control and prevention of canine rabies: the need for building laboratory-based surveillance capacity,2013
11565,10.1016/j.antiviral.2015.10.002_bib6,Coleman (2004),Coleman,Estimating the public health impact of rabies,2004
11566,10.1016/j.antiviral.2015.10.002_bib7,Day (2011),Day,One health: the importance of companion animal vector-borne diseases,2011
11567,10.1016/j.antiviral.2015.10.002_bib8,Dean (1996),Dean,The fluorescent antibody test,1996
11568,10.1016/j.antiviral.2015.10.002_bib9,Dürr (2008),Dürr,Rabies diagnosis for developing countries,2008
11569,10.1016/j.antiviral.2015.10.002_bib1,unparseable (1900),unparseable,unparseable,1900
